"AID","actuator_name","actuator_serial","DID","isActive","actuator_display_name","UID"
119,"Sprinkler-2-000000002d774009","2",1,"false","",4
120,"LED-3456-2713BBBK9228","3456",18,"true","LED",5
142,"sprinkler1-5551268483084670819-3052CB808C23","5551268483084670819",39,"true","sprinkler1-5551268483084670819-3052CB808C23",8
143,"sprinkler1-5551268483084670819-000000002d774009","5551268483084670819",1,"true","sprinkler1-5551268483084670819-000000002d774009",8
144,"arinkler1-7066147889533359447-000000002d774009","7066147889533359447",1,"true","arinkler1-7066147889533359447-000000002d774009",8
